Comment_ID,Post_ID,Comment_Text,Comment_Date,Comment
1671544218_44,1671544218,BBBM 第四劑打ba5的 手感覺稍微痛而已,2022-12-20,BBBM's fourth dose to hit BA5's hand feels slightly painful
1671544218_45,1671544218,沒發燒 只有酸痛大概只比前幾劑輕微一點,2022-12-20,"There is no fever, only soreness is probably slightly lighter than the previous doses"
1671544218_46,1671544218,三劑+確診完畢，打啥BA 4.5？有比真的病,2022-12-20,"Three doses+confirmation, what is BA 4.5? Sick disease than real"
1671544218_47,1671544218,毒厲害嗎？我還Az +bnt 還不是一樣中。,2022-12-20,Is it so poisonous? I am still not the same as AZ +BNT.
1671544218_48,1671544218,AAM，五月中的應該是ba.2?,2022-12-20,"AAM, should be BA.2 in mid -May?"
1671544218_49,1671544218,我打BNT有發燒 打M什麼事都沒有,2022-12-20,"I have a fever, I have a fever, I have nothing to do with it"
1671544218_50,1671544218,剩幾天就2023了還有人在打疫苗？,2022-12-20,"A few days left for 2023, and there are still people who are vaccine?"
1671544218_51,1671544218,尋麻疹…,2022-12-20,Hives…
1671544218_52,1671544218,手痛，但我有發燒，兩天後恢復,2022-12-20,"Hand pain, but I have a fever and recover two days later"
1671544218_53,1671544218,無感 就手酸幾個小時而已,2022-12-20,"If you feel sore for a few hours, it is just a few hours"
1671544218_54,1671544218,幹 我打完手酸四天,2022-12-20,"After I finish my hands, I am sore for four days"
1671544218_55,1671544218,手酸一天,2022-12-20,Soreness for one day
1671544218_56,1671544218,國外一堆人也沒補打…到底在怕啥,2022-12-20,A bunch of people abroad did not make up ... What are you afraid of?
1671544218_57,1671544218,...你高興就好,2022-12-20,...as long as you are happy
1671544218_58,1671544218,全身酸痛,2022-12-20,Body aches
1671544218_59,1671544218,打死不打副作用大的，，，加油！,2022-12-20,"Do not kill the side effects ,,, come on!"
1671544218_60,1671544218,打ba2沒什麼感覺,2022-12-20,I don't feel much to hit BA2
1671544218_61,1671544218,第四劑超不舒服,2022-12-20,The fourth dose is super uncomfortable
1671544218_62,1671544218,八掛板：不是果凍的bnt，其餘的疫苗,2022-12-20,"Eight hanging board: not the bNT of jelly, the rest of the vaccine"
1671544218_63,1671544218,都是垃圾,2022-12-20,All garbage
1671544218_64,1671544218,不會死的就不會死 會死的打幾百劑一,2022-12-20,"If you wo n’t die, you wo n’t die, and you will die hundreds of doses."
1671544218_65,1671544218,樣會死啦,2022-12-20,It will die
1671544218_66,1671544218,無感,2022-12-20,Indifferent
1671544218_67,1671544218," 副作用發燒而已,又不是買不到普拿疼",2022-12-20," The side effect is just a fever, but it is not that I can't buy Pujun Pain"
1671544218_68,1671544218,三劑莫+確診 還在考慮是否要打次世代,2022-12-20,Three dose Mo+confirmation is still considering whether to play the second generation
1671544218_69,1671544218,我打完頭痛了一天 微燒,2022-12-20,"I finished my headache for a day and a day, a day was slightly burning"
1671544218_70,1671544218,前面高端*3 第四劑莫德納燒了兩小時,2022-12-20,The front high -end*3 fourth dose of Modna burned for two hours
1671544218_71,1671544218,我五劑全打莫，最後一劑是BA4/5，手臂,2022-12-20,"My five doses are all beyond Mo, the last dose is BA4/5, arm arm"
1671544218_72,1671544218,腫而已，副作用不大,2022-12-20,"Just swollen, the side effects are not great"
1671544218_73,1671544218,還打？打疫苗根本沒用吧,2022-12-20,"Still fight? Playing vaccine is useless at all, right?"
1671544218_74,1671544218,手痠腫脹一週,2022-12-20,Swelling for a week
1671544218_75,1671544218,AABM副作用半天低燒，注射處疼痛一,2022-12-20,"AABM side effects for half a day, low fever, and pain in the injection area"
1671544218_76,1671544218,天，腋下腫兩天，很輕微，給你參考,2022-12-20,"God, the armpit is swollen for two days, it is very mild, give you a reference"
1671544218_77,1671544218,強不強我不知道 但是至少比政治疫苗BNT,2022-12-21,"I don’t know if I am strong, but at least more than a political vaccine BNT"
1671544218_78,1671544218,打起來 沒心理壓力,2022-12-21,There is no psychological pressure to fight
1671544218_79,1671544218,去年年底打完兩劑bnt就停了，最近剛確診,2022-12-21,"After the two doses of BNT at the end of last year, I stopped. Recently, I just diagnosed"
1671544218_80,1671544218,，一個禮拜就好了,2022-12-21,"Just one week, just fine"
1671544218_81,1671544218,兩劑bnt都沒啥感覺,2022-12-21,None of the two doses of BNT feels much
1671544218_82,1671544218,如果要打的話我會選副作用少的啦...,2022-12-21,"If you want to fight, I will choose less side effects ..."
1671544218_83,1671544218,我打過了，還好而已,2022-12-21,"I've played it, it's okay"
1671544218_84,1671544218,打滿三劑以上的喔。這波寒流低溫時留意自,2022-12-21,Full three doses. Pay attention to this wave of cold current at low temperature
1671544218_85,1671544218,身狀況,2022-12-21,Status
1671544218_86,1671544218,在八卦版除了BNT，其他都是垃圾,2022-12-21,"Except for BNT in the gossip version, everything else is garbage"
1671544218_87,1671544218,沒有在八卦板 只有塔綠班是垃圾,2022-12-21,"Not in the gossip board, only the tower green class is garbage"
1671544218_88,1671544218,我打第四劑，就是手痛個3天，沒其他副,2022-12-21,"I play the fourth dose, it is the pain of my hand for 3 days, there is no other side"
1671544218_89,1671544218,建議一年打四季 打到死,2022-12-21,It is recommended to fight four seasons a year to die
1671544218_90,1671544218,打了有問題的哪會在這邊回…,2022-12-21,Where can I return here if I have a problem ...
1671544218_91,1671544218,我自己是覺得比BNT副作用小,2022-12-21,I feel that it is less than the bnt side effects
1671544218_92,1671544218,https://reurl.cc/aa7XeG 日CBC疫苗死亡,2022-12-21,https://reurl.cc/aa7xxeg daily CBC vaccine death
1671544218_93,1671544218,https://reurl.cc/x1kW3E 桃副市長推伊,2022-12-21,https://reurl.cc/x1kw3e Deputy Mayor Push
1671544218_94,1671544218,打完過幾天有點心悸 過一個禮拜就好,2022-12-21,After a few days after playing
1671544218_95,1671544218,了,2022-12-21,Be
1671544218_96,1671544218,三劑加一劑天然的,2022-12-21,Three dose and one dose naturally
1671544218_97,1671544218,只打BNT~~ 莫什麼爛疫苗,2022-12-21,Just hit BNT ~~ What a bad vaccine?
1671544218_98,1671544218,打的地方痛幾天，這玩意本來就低機,2022-12-21,"The place where the place hurts for a few days, this stuff is originally low"
1671544218_99,1671544218,率，誰知道你是不是,2022-12-21,"Lee, who knows if you are"
1671544218_100,1671544218,除了打完當天累累的以外 沒什麼感覺,2022-12-21,I don't feel much except the tiring day
1671544218_101,1671544218,我56歲 A高高，我媽82歲3劑莫無副作用。常,2022-12-21,"I am 56 -year -old A high, and my mother has no side effects at 82 -year -old. often"
1671544218_102,1671544218,跑醫院至今沒確診過,2022-12-21,I have never been diagnosed by the hospital
1671544218_103,1671544218,無感,2022-12-21,Indifferent
1671544218_104,1671544218,https://reurl.cc/mZNQkj 日本cbc介紹,2022-12-21,https://reurl.cc/mznqkj Japan CBC Introduction
1671544218_105,1671544218,BBM+前兩天次世代莫 半夜燒到39.3 穿脫,2022-12-21,BBM+the last two days of Mo burned in the middle of the night to 39.3
1671544218_106,1671544218,衣服手臂爆痛,2022-12-21,The arm of clothes bursting pain
1671544218_107,1671544218,還有人在打疫苗？,2022-12-21,Are there any people being vaccinated?
1671544218_108,1671544218,認真 中醫 排毒,2022-12-21,Careful Chinese medicine detoxification
1671544218_109,1671544218,只有手痠，已經不想再打了，感覺無止盡,2022-12-22,"Only hand is sore, I don’t want to fight anymore, it feels endless"
1660357888_0,1660357888,文章拿出來看 這結論我不相信＝.＝,2022-08-13,The article takes it out to see this conclusion I don't believe =. =
1660357888_1,1660357888,打高端啊,2022-08-13,High end
1660357888_2,1660357888,高端屌打,2022-08-13,High -end hiccup
1660357888_3,1660357888,哈哈哈哈哈 哈哈哈哈哈 醫學真的很落後~,2022-08-13,Hahahahahahahahahahaha medicine is really backward ~
1660357888_4,1660357888," 都還在創造""建議打 但風險自付""這種東西~",2022-08-13," They are still creating things like ""Suggesting and Paying by Risk"" ~"
1660357888_5,1660357888,好，開打第五劑,2022-08-13,"Okay, start the fifth agent"
1660357888_6,1660357888,風險自負=沒有專家存在意義 建議打=我要錢,2022-08-13,Risk -negative = No expert existence is recommended to fight = I want money
1660357888_7,1660357888,疫苗仔說利大於弊 管你去死,2022-08-13,"The vaccine said that the profit is greater than the disadvantage, and you will die"
1660357888_8,1660357888,真是是這樣，有認識，打一劑az 就不,2022-08-13,This is really the case.
1660357888_9,1660357888,敢再打。,2022-08-13,Dare to fight again.
1660357888_10,1660357888,,2022-08-13,#VALUE!
1660357888_11,1660357888,感染時體內滿滿的S蛋白欸XD,2022-08-13,"When the body is infected, the body is full of S protein 欸 xD"
1660357888_12,1660357888,疫苗太可怕了，還是感染最好了,2022-08-13,"The vaccine is terrible, the best infection is the best"
1660357888_13,1660357888,沒被病毒搞死，卻死於疫苗,2022-08-13,"It was not killed by the virus, but died in the vaccine"
1660357888_14,1660357888,,2022-08-13,#VALUE!
1660357888_15,1660357888,感染時哪有滿滿的S蛋白？大部分人能在呼吸,2022-08-13,How can there be full S protein when infected? Most people can breathe
1660357888_16,1660357888,道攔截住的不會進入血管  再加上FLCCC EAR,2022-08-13,"If the road is intercepted, it will not enter the blood vessels, plus the FLCCC EAR"
1660357888_17,1660357888,LY TREATMENT更能減少長新冠的機率，只靠,2022-08-13,"Ly Treatment can reduce the chance of a new crown, only"
1660357888_18,1660357888,退燒藥是沒用的,2022-08-13,Anti -fever is useless
1660357888_19,1660357888,除非某人的呼吸道一點用處都沒有,2022-08-13,Unless someone’s respiratory tract is not useful at all
1660357888_20,1660357888,不然自然感染是不可能體內滿滿S蛋白,2022-08-13,"Otherwise, it is impossible to be full of S protein in the body"
1660357888_21,1660357888,就算肛門也沒這麼弱,2022-08-13,Even the anus is not so weak
1660357888_22,1660357888,冬天要到了，才速後遺症真正的開始,2022-08-13,"Winter is coming, so the sequelae of the speed really start"
1660357888_23,1660357888,實驗針比自然染疫危險太多，實驗針反人,2022-08-13,Experimental needles are much dangerous than natural infection.
1660357888_24,1660357888,類罪,2022-08-13,Sin
1660357888_25,1660357888,實驗針注射全身血液，被害慘,2022-08-13,"Experimental needle injection of whole body blood, the victim is miserable"
1654603352_0,1654603352,博士虐貓，碩士約砲，學士射精在飲料，校友正在蹲苦窯,2022-05-30,"Doctoral abuse of cats, master's degree artillery, bachelor ejaculation in drinks, alumni are squatting bitter kiln"
1654603352_1,1654603352,教授作帳假發票，職業學生看報紙才知道。,2022-05-30,"The professor is a fake invoice, and professional students know the newspaper."
1654603352_2,1654603352,台北市社會局今年一定是五倍爛,2022-06-07,The Taipei Municipal Bureau of Social Affairs must be five times bad this year
1654603352_3,1654603352,硬闖長照在芝山國小 罔顧學生權益,2022-06-07,Break through the long -shine in Zhishan Elementary School to ignore students' rights and interests
1654603352_4,1654603352,我認識都是喉嚨癢癢而已,2022-06-07,I know it all the throat itching
1654603352_5,1654603352,打疫苗無感、確診微不舒服呀,2022-06-07,"The vaccine is not sensible, and the diagnosis is slightly uncomfortable"
1653055038_0,1653055038,你試看看確診 記得來回報,2022-05-20,If you try to see the confirmation
1653055038_1,1653055038,五樓gg變奈米,2022-05-20,Fifth floor GG change nano
1653055038_2,1653055038,確實無症狀 因為死了,2022-05-20,It's really asymptomatic because it is dead
1653055038_3,1653055038,五樓愛滋確診 屁眼裡都是愛滋洨,2022-05-20,AIDS on the fifth floor is all in the asshole of AIDS.
1653055038_4,1653055038,模擬遊戲跟實戰結果會一樣？,2022-05-20,Will simulation games be the same as actual combat results?
1653055038_5,1653055038,AAM 喉嚨正在痛 跟感冒喉嚨痛一樣,2022-05-20,AAM's throat is hurting like a cold and sore throat
1653055038_6,1653055038,倒是沒發燒 不過每個人症狀不一樣,2022-05-20,"It's not a fever, but everyone's symptoms are different"
1653055038_7,1653055038,被車撞三次，喉嚨又被黑人桶,2022-05-20,"Back into the car three times, and the throat was bucket again"
1653055038_8,1653055038,應該有人就這麼慘,2022-05-20,Someone should be so miserable
1653055038_9,1653055038,不會 原理不一樣,2022-05-20,The principle is not the same
1653055038_10,1653055038,一直被車撞 哈哈哈哈,2022-05-20,Always being hit by a car hahahaha
1653055038_11,1653055038,整體上打疫苗那段還比較痛苦= =,2022-05-20,The overall vaccine is still painful ==
1653055038_12,1653055038,AAM 低燒 流鼻涕鼻塞,2022-05-20,AAM low -time runny nose stuffy
1653055038_13,1653055038,沒打疫苗天天內用都沒症狀,2022-05-20,No symptoms are used without vaccine every day
1653055038_14,1653055038,痛到想把喉嚨割掉,2022-05-20,It is so painful to cut off the throat
1653055038_15,1653055038,你有沒有想過 有可能以前各種感冒,2022-05-20,Have you ever thought that there may be all kinds of colds in the past
1653055038_16,1653055038,嚴重度也是因人而異 只是不會像現,2022-05-20,"Severely varies from person to person, but it will not be like it"
1653055038_17,1653055038,在刻意宣傳,2022-05-20,Deliberately propagate
1653055038_18,1653055038," 我打完疫苗也是跟染疫一樣喉嚨超痛啊 XD""",2022-05-20," After the vaccine, I also have a sore throat like the infection. XD """
1653055038_19,1653055038,AAM 同疫苗副作用：低燒 身體痠痛、不同,2022-05-21,"AAM and vaccine side effects: low fever body soreness, different"
1653055038_20,1653055038,：鼻才流鼻水咳嗽,2022-05-21,: Nose to flow nose water cough
1653055038_21,1653055038,*鼻塞 不過打完疫苗爬不起來 確診倒是精,2022-05-21,"*The nasal congestion can't get up after the vaccine can’t get up, but the diagnosis is fine"
1653055038_22,1653055038,神不錯…,2022-05-21,God is good ...
1650707548_0,1650707548,推~醫生出來講話,2022-04-23,Push ~ Doctor come out and speak
1650707548_1,1650707548,良心醫生,2022-04-23,Conscience doctor
1650707548_2,1650707548,推一下,2022-04-23,Push
1650707548_3,1650707548,感謝臨床醫師分享,2022-04-23,Thank you clinician for sharing
1650707548_4,1650707548,推,2022-04-23,push
1650707548_5,1650707548,https://i.imgur.com/9qQW6ok.jpg,2022-04-23,https://i.imgur.com/9qqw6ok.jpg
1650707548_6,1650707548,這篇推文異常的少,2022-04-23,This tweet is extremely small
1650707548_7,1650707548,推！,2022-04-23,push!
1650707548_8,1650707548,推！,2022-04-23,push!
1650707548_9,1650707548,剛看過影片了，講到小孩那段真的..,2022-04-23,"I just watched the movie, and when I talked about the child's true .."
1650707548_10,1650707548,只能幫推了,2022-04-23,Can only help push
1650707548_11,1650707548,推,2022-04-23,push
1650707548_12,1650707548,https://youtu.be/IE7IMVmsOIE,2022-04-23,https://youtu.be/ie7imvmsoie
1650707548_13,1650707548,https://t.me/TaiwanVAERreport,2022-04-23,https://t.me/taiwanvaerreport
1650707548_14,1650707548,推,2022-04-23,push
1650707548_15,1650707548,推文疫苗仔沒出來耶,2022-04-23,Duanwen vaccine is not out
1650707548_16,1650707548,推,2022-04-23,push
1650707548_17,1650707548,推,2022-04-24,push
1650707548_18,1650707548,等等應該會被罵腦殘沒藥醫之類的,2022-04-24,"Wait, you should be scolded by the brain, no medicine, no medicine"
1650707548_19,1650707548,謝謝分享，獨立思考為自己的健康負責，少,2022-04-24,"Thank you for sharing, thinking independently for your own health, less"
1650707548_20,1650707548,數人～,2022-04-24,Several people ~
1650661268_0,1650661268,恐慌症還差不多,2022-04-23,Panic disorder is almost the same
1650661268_1,1650661268,哈哈哈哈哈,2022-04-23,Hahahahaha
1650661268_2,1650661268,自律神經失調吧,2022-04-23,Self -discipline nerve disorders
1650661268_3,1650661268,4/30有反毒針遊行,2022-04-23,4/30 Anti -drug needle parade
1650661268_4,1650661268,反正大家一定是說絕對跟疫苗無關XD,2022-04-23,"Anyway, everyone must say that it is definitely not related to the vaccine XD"
1650661268_5,1650661268,我bnt已3個月 常常還會有點輕微心悸,2022-04-23,My bnt has been a little bit slightly palpitated for 3 months
1650661268_6,1650661268,11月打莫 輕微心悸+1 稍微累一點 坐著全,2022-04-23,November Mo slightly heart palpitations +1 are a little tired and sit all
1650661268_7,1650661268,身都會振動,2022-04-23,The body will vibrate
1650661268_8,1650661268,4樓說的是真的嗎,2022-04-23,Is it true that the 4th floor is true?
1650661268_9,1650661268,https://imgur.com/iCHNCY1,2022-04-23,https://imgur.com/ichnch1
1650661268_10,1650661268,跟你一樣打默第三劑後開始會喘,2022-04-23,"Like you, the third dose will start to breathe"
1650661268_11,1650661268,是mrna,2022-04-23,It's mRNA
1650661268_12,1650661268,google 刺突蛋白 spike protein,2022-04-23,Google spiny protein Spike Protein
1650661268_13,1650661268,1-2個月吧 打完一堆奇怪的副作用,2022-04-23,"1-2 months, finish a bunch of strange side effects"
1650661268_14,1650661268,時間久會自行恢復 不太影響日常,2022-04-23,It will not affect daily life if it will be recovered for a long time
1650661268_15,1650661268,我有一個朋友也跟你一樣,2022-04-23,I have a friend like you
1650661268_16,1650661268,原PO加油 和你的症狀一樣 目前也是慢慢恢復,2022-04-23,"The original PO is the same as your symptoms. At present, it is slowly recovering"
1650661268_17,1650661268,淋巴發炎，現在還在痛,2022-04-23,"Lymph inflammation, still hurt now"
1650661268_18,1650661268,這種疫苗…竟然還要給小朋友打,2022-04-23,This kind of vaccine ... even if you want to play for children
1650661268_19,1650661268,打疫苗都有風險如果染疫只有輕症真的不該,2022-04-23,There are risks of vaccine.
1650661268_20,1650661268,強迫打第三劑,2022-04-23,Occubic
1650661268_21,1650661268,自律神經失調 過敏都有可能,2022-04-23,Allergies of autonomic nerve disorders are all possible
1650661268_22,1650661268," 認真,去檢查心血管..",2022-04-23, Seriously check the cardiovascular ..
1650661268_23,1650661268,尤其主動脈部分,2022-04-23,Especially the aorta part
1650661268_24,1650661268,也有可能肺的問題 不過考慮中醫或自然醫,2022-04-23,It may also be a lung problem but consider Chinese medicine or natural medicine
1650661268_25,1650661268,學吧,2022-04-23,Learn
1650661268_26,1650661268,自己有病,2022-04-23,I'm sick
1650661268_27,1650661268,強迫打第三劑真的失去人權 不懂為,2022-04-23,"Forced the third dose of the third dose, really lost human rights and don’t understand it."
1650661268_28,1650661268,什麼沒有人出來抗議,2022-04-23,No one came out to protest
1650661268_29,1650661268,我沒有喘 但我微心悸了兩三個禮拜,2022-04-23,"I didn't breathe, but I was slightly palpitated for two or three weeks"
1650661268_30,1650661268,我是打2劑az，近期也是坐著躺著時身體莫,2022-04-23,"I play 2 dos AZ, and I am also in my body recently when I was sitting and lying down."
1650661268_31,1650661268,名震動，所以第3加強劑遲遲不敢打...,2022-04-23,"The name is vibrating, so the third enhanced agent dare not fight ..."
1650661268_32,1650661268,有朋友也是這樣，靠游泳改善,2022-04-23,This is the same if there is a friend.
1650661268_33,1650661268,我打bnt無感但是打M喘成智障,2022-04-23,"I have no sense of BNT, but Mighten M breath into mental retardation"
1650661268_34,1650661268,無法證實刺突蛋白是否對人體有害,2022-04-23,Can't confirm whether spiny protein is harmful to the human body
1650661268_35,1650661268,自煮應bang,2022-04-23,Self -cooking should be bang
1650661268_36,1650661268,看是實驗組還對照組笑到最後,2022-04-23,It is seen that the experimental group also laughed at the end of the control group to the end
1650661268_37,1650661268,無法證明跟實驗針有關係，所以實驗針很,2022-04-23,"It cannot be proved to be related to the experimental needle, so the experimental needle is very very"
1650661268_38,1650661268,安全,2022-04-23,Safety
1650661268_39,1650661268,多數人的邏輯是這樣,2022-04-23,Most people's logic is like this
1650661268_40,1650661268,也沒有證實無害啦，實驗室in vitro已經,2022-04-23,It has not been confirmed that it is harmless. The laboratory in vitro has already
1650661268_41,1650661268,證實有毒性，那責任就是推針的證實人體,2022-04-23,"It is confirmed to be toxic, and the responsibility is the confirmation of the needle to push the needle"
1650661268_42,1650661268,無害,2022-04-23,harmless
1650661268_43,1650661268,怎麼像我之前自律神經失調的情形,2022-04-23,How can I look like me before my autonomous nerve disorders
1650661268_44,1650661268,有睡眠呼吸中止症嗎？ 右心功能如何 一,2022-04-23,Are there any sleep apnea? How is the right heart function one
1650661268_45,1650661268,般心超多坐左心多,2022-04-23,"Sitting with a lot of heart, you are more than a lot of Zuo Xin"
1650661268_46,1650661268,基本風險管理的邏輯一堆所謂的“專家”,2022-04-23,"The logic of basic risk management is a bunch of so -called ""experts"""
1650661268_47,1650661268,都搞不輕楚,2022-04-23,It's all light
1650661268_48,1650661268,*清楚,2022-04-23,*clear
1650661268_49,1650661268,藥廠都不敢保證會有什麼副作用，醫生專,2022-04-23,"The pharmaceutical factory dare not guarantee any side effects, doctors specialize"
1650661268_50,1650661268,az 9月打，到現在偶爾手臂還是酸,2022-04-23,"AZ played in September, and now occasionally the arm is still sour"
1650661268_51,1650661268,家那麼厲害可以斷定跟疫苗無關,2022-04-23,The home is so powerful that it can be determined that it has nothing to do with the vaccine
1650661268_52,1650661268,台灣人真的被這些醫界專家權威給害慘了,2022-04-23,Taiwanese are really miserable by the authority of these medical experts
1650661268_53,1650661268,最後都是自己有病,2022-04-23,"Finally, I am sick"
1650661268_54,1650661268,沒有醫學報告證明跟疫苗有關之前 是哪,2022-04-23,There is no medical report to prove that it is related to the vaccine before
1650661268_55,1650661268,個醫生敢說身體的不良反應跟疫苗有關,2022-04-23,A doctor dares to say that the adverse reaction of the body is related to the vaccine
1650661268_56,1650661268,自己的身體出了問題自己還不相信，無腦,2022-04-23,"I do n’t believe my body, I do n’t believe it, I have no brain"
1650661268_57,1650661268,相信那些所謂醫界專家的話，身體出事情,2022-04-23,"I believe that those so -called medical experts, the body is wrong"
1650661268_58,1650661268,那些專家會負責嗎？,2022-04-23,Will those experts be responsible?
1650661268_59,1650661268,疫苗不良反應通報的審查才會塞車,2022-04-23,The review of the romant response notice will only plug the car
1650661268_60,1650661268,如果不是血栓 醫生都不敢開證明,2022-04-23,"If it weren't for a thrombosis, I wouldn't dare to issue a certificate"
1650661268_61,1650661268,我姊打完三個月了 打針處還是痠痛,2022-04-23,My sister is still sore after three months of injection
1650661268_62,1650661268,同事姊打完癱床上到現在半年 花掉百萬,2022-04-23,My colleagues and sisters spend millions of millions after half a year after the paralyzed bed
1650661268_63,1650661268,疫苗對身體反應是長期觀察的 現在開打,2022-04-23,The vaccine response to the body is a long -term observation.
1650661268_64,1650661268,原來是恐龍家長最愛逼恩提還敢給小孩打,2022-04-23,It turned out that the parents of dinosaurs loved Ensi and dare to fight for children
1650661268_65,1650661268,也才一年多 都還在研究後續對身體反應,2022-04-23,It has been studying for more than a year and is still studying the follow -up response to the body
1650661268_66,1650661268,笑死,2022-04-23,Laughed
1650661268_67,1650661268,短期或許沒事 長期對身體造成影響未知,2022-04-23,"In the short term, it may be okay to have a long -term impact on the body unknown"
1650661268_68,1650661268,去看中醫,2022-04-23,Go to see Chinese medicine
1650661268_69,1650661268,有保險可以理賠面嗎,2022-04-23,Can I claim the face if there is insurance?
1650661268_70,1650661268,幾個對疫苗質疑的醫師正在直播,2022-04-23,Several doctors who question the vaccine are broadcasting live
1650661268_71,1650661268,https://bit.ly/3ECvDsm,2022-04-23,https://bit.ly/3ECVDSM
1650661268_72,1650661268,（好像是舊影片，前一天的）,2022-04-23,"(It seems to be an old film, the day before)"
1650661268_73,1650661268,全身會振動那應該是心臟有異狀,2022-04-23,"The whole body will vibrate, so it should be the heart of the heart"
1650661268_74,1650661268,我們小時候打的那些疫苗都是歐美已經打,2022-04-23,The vaccines we were playing when we were young were all hit by Europe and the United States
1650661268_75,1650661268,十年以上的，已經觀察非常多案例的,2022-04-23,"For more than ten years, I have observed a lot of cases"
1650661268_76,1650661268,近期比較新的疫苗也就HPV吧,2022-04-23,"The recent new vaccine is HPV, right?"
